parcours,NBR_CRD_ELP,ECTS,Semestre,COD_ELP1,LIC_ELP1,LIB,remarques,HYBRIDE,LIC_NEL1,TEM_SUS_ELP1,NB_HEURE,NB_GROUPE,CM,TD,M1MGID,M1MCRE,M1MNET,M1MTRN,M1MMCP,M1DTDM,M1MACE,M2MGID,M2MCRE,M2MNET,M2MTRN,M2MMCP,M2MACE,M2DTDM,M1Nanterre,M2Nanterre,M1ERGO,M2ERGO,M1Info,M2CPI,M1Droit,M2Droit,SoSkilled,M1Aegean,M1LasPalmas,M2Aegean,M2LasPalmas,MIP
M2MNET,10,,,DMA4EDC4,Oral,,,,EC,N,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,8,,,DMA4EDC5,Oral,,,,EC,N,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,7,,,DMA4EDC6,Rapport,,,,EC,N,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MACE,3,,,DMA4EDD1,Ang. scientifique & Tech.,Anglais scientifique et technique,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MACE,3,,,DMA4EDD2,Projt collaboratif tutoré,Projet collaboratif tutoré,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MACE,6,,,DMA4EDD3,"Innovation, créativité...",,plus dans la maquette,,EC,O,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MACE,5,,,DMA4EDD4,Ethique web & écosys Info,Ethique du web et écosystèmes d'information,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MACE,5,,,DMA4EDD5,Méthodes de recherche,,plus dans la maquette,,EC,O,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MACE,5,,,DMA4EDD6,Méthodo conduite d'études,Méthodologie pour la conduite d'études,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MACE,6,,,DMA4EDD7,Communs et intelligence,Communs et intelligence collective,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MACE,5,,,DMA4EDD8,Veille informationnelle,Veille informationnelle,,,EC,N,20,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MTRN,7,,,DMA4EDE1,Entreprendre en Trans Num,Entreprendre en transition numérique,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MTRN,7,,,DMA4EDE2,Prod collective interspéc,Production collective interspécialisation sur les transitions numériques partie 2,,,EC,N,30,1,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,20,,,DMA4ERC1,Mémoire,,,,EC,N,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
